name,ingredients,calories,isVegan,price
Grilled Chicken Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,320,FALSE,6.99
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,380,TRUE,4.99
Roast Beef Sandwich,Roast beef-whole grain bread-lettuce-tomato-mustard,520,FALSE,5.49
Vegan Quinoa Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,340,TRUE,6.49
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,450,FALSE,5.99
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,350,TRUE,7.99
Egg Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,420,FALSE,4.49
Vegan Buddha Bowl,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,500,TRUE,8.99
Beef Chili,Ground beef-tomatoes-beans-onions-chili powder,430,FALSE,5.79
Vegan Hummus Plate,Hummus-cucumber-carrot sticks-pita bread-olives,400,TRUE,5.29
Grilled Salmon,Salmon-lemon-olive oil-parsley,400,FALSE,9.99
Tofu Scramble,Tofu-spinach-mushrooms-onions-turmeric-black beans,350,TRUE,5.49
Turkey and Cheese Sandwich,Turkey-cheddar cheese-whole wheat bread-lettuce-tomato,550,FALSE,5.79
Vegetable Soup,Carrots-celery-onions-garlic-potatoes-spinach,350,TRUE,4.99
Chicken Tenders,Chicken breast-breading-oil-honey mustard,560,FALSE,6.49
Vegan Falafel Wrap,Falafel-lettuce-tomato-cucumber-tahini-wrap,380,TRUE,6.49
Pasta Primavera,Pasta-broccoli-carrots-bell peppers-olive oil-garlic,450,TRUE,6.99
Beef Burrito,Ground beef-rice-beans-cheese-salsa-tortilla,620,FALSE,7.49
Vegan Black Bean Tacos,Black beans-corn-avocado-salsa-corn tortillas,380,TRUE,5.99
Eggplant Parmesan,Eggplant-marinara sauce-mozzarella-breadcrumbs,400,TRUE,7.49
Grilled Chicken Wrap,Grilled chicken-lettuce-tomato-cucumber-wrap,400,FALSE,5.99
Vegan Shepherd's Pie,Lentils-peas-carrots-potatoes-vegan gravy,500,TRUE,7.99
Chicken and Rice,Chicken-rice-peas-carrots-soy sauce,520,FALSE,6.49
Veggie Burger,Black beans-quinoa-vegetables-whole wheat bun-avocado,420,TRUE,6.99
Vegan Pizza,Tomato sauce-vegan cheese-bell peppers-mushrooms-spinach,700,TRUE,8.49
Beef and Broccoli,Beef-broccoli-soy sauce-garlic-ginger-rice,500,FALSE,7.99
Cabbage Stir Fry,Cabbage-carrots-tofu-soy sauce-ginger-rice,450,TRUE,6.29
Chicken Parmesan,Chicken-marinara sauce-mozzarella-parmesan-spaghetti,650,FALSE,8.49
Vegan Pad Thai,Rice noodles-tofu-peanuts-lime-soy sauce-carrots,400,TRUE,7.49
Grilled Cheese Sandwich,Cheddar cheese-white bread-butter,500,FALSE,4.99
Vegan Mushroom Risotto,Arborio rice-mushrooms-vegetable broth-garlic-onions,450,TRUE,7.99
BBQ Chicken Sandwich,BBQ sauce-chicken-coleslaw-whole grain bun,550,FALSE,6.49
Vegan Tacos,Black beans-corn-avocado-salsa-corn tortillas,380,TRUE,5.49
Chicken Fried Rice,Chicken-rice-peas-carrots-soy sauce-eggs,600,FALSE,6.99
Vegan Burrito,Black beans-rice-avocado-salsa-lettuce-tortilla,520,TRUE,7.49
Salmon Salad,Salmon-lettuce-cucumber-tomato-lemon dressing,350,FALSE,9.99
Grilled Veggie Wrap,Zucchini-peppers-eggplant-hummus-wrap,420,TRUE,6.29
Chicken Quesadilla,Chicken-cheese-tortillas-salsa-sour cream,600,FALSE,6.49
Vegan Chia Pudding,Chia seeds-almond milk-maple syrup-vanilla-berries,300,TRUE,4.99
Pasta with Marinara,Pasta-marinara sauce-garlic-basil-olive oil,350,TRUE,5.99
Chicken Soup,Chicken-carrots-celery-onions-broth-noodles,390,FALSE,4.79
Vegan Chili,Black beans-kidney beans-tomatoes-chili powder-onions,460,TRUE,5.79
Shrimp and Rice, shrimp-rice-peas-carrots-soy sauce,540,FALSE,8.99
Tofu Stir Fry,Tofu-broccoli-peppers-onions-soy sauce-garlic,470,TRUE,7.49
Vegan Bolognese,Lentils-tomatoes-garlic-onion-olive oil-spaghetti,520,TRUE,7.99
Turkey Meatballs,Ground turkey-breadcrumbs-marinara sauce-spaghetti,480,FALSE,6.49
Vegan Avocado Toast,Avocado-whole wheat bread-cherry tomatoes-arugula,380,TRUE,5.49
Chicken Caesar Salad,Grilled chicken-romaine lettuce-Caesar dressing-croutons,510,FALSE,7.99
Vegan Sweet Potato Curry,Sweet potatoes-coconut milk-curry paste-chickpeas-rice,600,TRUE,8.49
Beef Steak and Vegetables,Beef-potatoes-carrots-broccoli-garlic,700,FALSE,10.99
Vegan Sushi Rolls,Avocado-cucumber-carrots-rice-seaweed,420,TRUE,8.99
Chicken Stir Fry,Chicken-bell peppers-onions-soy sauce-rice,560,FALSE,6.49
Vegan Sweet and Sour Tofu,Tofu-bell peppers-onions-pineapple-soy sauce,550,TRUE,7.49
Vegetable Frittata,Spinach-mushrooms-tomatoes-eggs-cheese,480,TRUE,5.99
Vegan Tofu Scramble,Tofu-spinach-tomatoes-onions-turmeric-black beans,350,TRUE,5.49
Chicken Pot Pie,Chicken-peas-carrots-potatoes-pie crust,600,FALSE,7.49
Vegan Mac and Cheese,Macaroni-cashews-nutritional yeast-garlic-onion,350,TRUE,6.99
Pulled Pork Sandwich,Pulled pork-BBQ sauce-coleslaw-bun,650,FALSE,7.99
Vegan Gravy with Mashed Potatoes,Mashed potatoes-vegetable broth-mushrooms-garlic,500,TRUE,6.49
Chicken Fajitas,Chicken-bell peppers-onions-salsa-tortillas,550,FALSE,7.49
Vegan Tofu Tacos,Tofu-avocado-salsa-lettuce-corn tortillas,400,TRUE,6.29
Beef Tacos,Ground beef-lettuce-tomato-cheese-tortillas,500,FALSE,5.99
Vegan Cabbage Rolls,Cabbage-rice-lentils-tomatoes-garlic,450,TRUE,6.79
Chicken and Vegetable Skewers,Chicken-peppers-onions-zucchini-olive oil-garlic,500,FALSE,7.99
Vegan Pizza,Tomato sauce-vegan cheese-bell peppers-mushrooms-spinach,750,TRUE,8.99
Grilled Chicken,Chicken-olive oil-garlic-lemon-rosemary,300,FALSE,6.49
Vegan Sweet Potato Fries,Sweet potatoes-olive oil-paprika-garlic powder,450,TRUE,4.99
Steak and Potatoes,Beef steak-potatoes-garlic butter-broccoli,750,FALSE,9.99
Vegan Quinoa Chili,Quinoa-black beans-tomatoes-onions-chili powder,550,TRUE,7.49
Roast Chicken,Chicken-rosemary-garlic-lemon-potatoes,600,FALSE,8.99
Vegan Pasta Salad,Pasta-cucumber-bell peppers-olives-tomatoes-olive oil,350,TRUE,5.99
Grilled Chicken Breast,Chicken-olive oil-lemon-rosemary,320,FALSE,5.99
Vegetarian Burrito,Brown rice-black beans-avocado-salsa-tortilla,600,TRUE,7.99
Vegan Potato Salad,Potatoes-vegan mayo-celery-mustard-onion,450,TRUE,4.99
Chicken Wrap,Grilled chicken-spinach-tomato-wrap,350,FALSE,5.49
Vegetarian Lasagna,Noodles-ricotta cheese-spinach-marinara sauce-mozzarella,500,TRUE,7.99
Grilled Veggie Skewers,Zucchini-bell peppers-onions-mushrooms-olive oil,450,TRUE,6.49
BBQ Veggie Burger,Black beans-quinoa-oats-BBQ sauce-lettuce-tomato,500,TRUE,6.99
Chicken Wings,Chicken wings-BBQ sauce-honey-garlic,700,FALSE,8.99
Vegan Tofu Curry,Tofu-coconut milk-curry paste-vegetables-rice,580,TRUE,7.49
Chicken and Mashed Potatoes,Chicken-mashed potatoes-gravy-green beans,650,FALSE,7.99
Vegan Roasted Cauliflower,Cauliflower-olive oil-garlic-paprika-turmeric,300,TRUE,5.49
Chicken and Vegetable Soup,Chicken-carrots-celery-onions-broth-vegetables,350,FALSE,4.99
Vegan Avocado Pesto Pasta,Avocado-basil-lemon-garlic-pasta,500,TRUE,7.99
Vegan Taco Salad,Black beans-corn-avocado-lettuce-tomato-salsa,450,TRUE,6.49
Chicken and Quinoa,Chicken-quinoa-spinach-olive oil-garlic,480,FALSE,6.99
Tofu and Vegetable Stir Fry,Tofu-broccoli-carrots-bell peppers-soy sauce,450,TRUE,7.49
Roast Beef Sandwich,Grilled chicken-romaine lettuce-Caesar dressing-wrap,760,FALSE,3.34
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,250,FALSE,4.85
Vegan Lentil Soup,Ground beef-tomatoes-beans-onions-chili powder,610,FALSE,0.44
Beef Chili,Hard-boiled eggs-mayo-mustard-celery-lettuce,230,FALSE,8.15
Egg Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,670,FALSE,3.94
Roast Beef Sandwich,Grilled chicken-lettuce-tomato-cucumber-dressing,340,FALSE,3.04
Vegan Buddha Bowl,Lentils-carrots-celery-onions-garlic-tomato,720,FALSE,7.92
Egg Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,580,FALSE,7.22
Egg Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,650,FALSE,4.68
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,1000,FALSE,3.64
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,710,FALSE,3.32
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,180,FALSE,5.80
Roast Beef Sandwich,Ground beef-tomatoes-beans-onions-chili powder,880,FALSE,2.55
Vegan Lentil Soup,Hard-boiled eggs-mayo-mustard-celery-lettuce,220,FALSE,3.76
Roast Beef Sandwich,Roast beef-whole grain bread-lettuce-tomato-mustard,230,FALSE,9.25
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,580,FALSE,4.60
Vegan Quinoa Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,810,FALSE,0.38
Chicken Caesar Wrap,Grilled chicken-lettuce-tomato-cucumber-dressing,710,FALSE,1.36
Vegetable Stir Fry,Lentils-carrots-celery-onions-garlic-tomato,480,FALSE,4.74
Roast Beef Sandwich,Hard-boiled eggs-mayo-mustard-celery-lettuce,180,FALSE,3.33
Vegetable Stir Fry,Grilled chicken-romaine lettuce-Caesar dressing-wrap,900,FALSE,2.88
Roast Beef Sandwich,Roast beef-whole grain bread-lettuce-tomato-mustard,880,FALSE,5.04
Beef Chili,Lentils-carrots-celery-onions-garlic-tomato,540,FALSE,4.42
Vegan Lentil Soup,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,380,FALSE,4.24
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,610,FALSE,4.12
Vegan Lentil Soup,Hard-boiled eggs-mayo-mustard-celery-lettuce,650,FALSE,1.11
Vegan Quinoa Salad,Lentils-carrots-celery-onions-garlic-tomato,200,FALSE,4.32
Vegan Quinoa Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,330,FALSE,3.11
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,300,FALSE,5.01
Vegan Quinoa Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,160,FALSE,8.52
